repeat,fold,strategy,model,roc_auc,pr_auc,best_params,error,seconds
3,1,pathway,elastic_net,0.990979381443299,0.9992931782934538,"{'clf__C': 1.0, 'clf__l1_ratio': 0.2}",,5.7
3,1,pathway,random_forest,0.9935567010309279,0.9994739499986186,"{'clf__max_depth': 3, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}",,9.3
3,1,pathway,xgboost,0.9806701030927836,0.9983826217715627,"{'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__n_estimators': 300}",,4.7
3,2,de_informed,elastic_net,1.0,0.9999999999999999,"{'clf__C': 0.01, 'clf__l1_ratio': 0.2}",,12.2
3,2,de_informed,random_forest,1.0,1.0,"{'clf__max_depth': 3, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}",,12.4
3,2,de_informed,xgboost,1.0,1.0,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 100}",,7.8
3,2,data_driven,elastic_net,1.0,0.9999999999999999,"{'clf__C': 0.1, 'clf__l1_ratio': 0.2}",,2.9
3,2,data_driven,random_forest,1.0,1.0,"{'clf__max_depth': 3, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}",,4.1
3,2,data_driven,xgboost,1.0,1.0,"{'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__n_estimators': 100}",,1.7
3,2,pathway,elastic_net,1.0,0.9999999999999999,"{'clf__C': 1.0, 'clf__l1_ratio': 0.2}",,11.1
3,2,pathway,random_forest,1.0,1.0,"{'clf__max_depth': 3, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 500}",,8.5
3,2,pathway,xgboost,1.0,0.9999999999999999,"{'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__n_estimators': 300}",,5.4
3,3,de_informed,elastic_net,1.0,1.0000000000000002,"{'clf__C': 0.01, 'clf__l1_ratio': 0.2}",,13.6
3,3,de_informed,random_forest,1.0,1.0,"{'clf__max_depth': 3, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}",,12.1
3,3,de_informed,xgboost,0.9375,0.9895833333333334,"{'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__n_estimators': 300}",,10.6
3,3,data_driven,elastic_net,1.0,1.0000000000000002,"{'clf__C': 0.01, 'clf__l1_ratio': 0.2}",,4.4
3,3,data_driven,random_forest,1.0,1.0,"{'clf__max_depth': 3, 'clf__min_samples_leaf': 3, 'clf__n_estimators': 200}",,6.0
3,3,data_driven,xgboost,1.0,1.0,"{'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__n_estimators': 100}",,2.9
3,3,pathway,elastic_net,1.0,1.0000000000000002,"{'clf__C': 1.0, 'clf__l1_ratio': 0.8}",,5.8
3,3,pathway,random_forest,1.0,1.0,"{'clf__max_depth': 5, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}",,10.2
3,3,pathway,xgboost,1.0,1.0000000000000002,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 100}",,6.6
3,4,de_informed,elastic_net,1.0,1.0,"{'clf__C': 0.01, 'clf__l1_ratio': 0.2}",,14.2
3,4,de_informed,random_forest,1.0,1.0,"{'clf__max_depth': 3, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}",,18.8
3,4,de_informed,xgboost,1.0,1.0,"{'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__n_estimators': 100}",,12.1
3,4,data_driven,elastic_net,1.0,1.0,"{'clf__C': 0.1, 'clf__l1_ratio': 0.2}",,4.9
3,4,data_driven,random_forest,1.0,1.0,"{'clf__max_depth': 3, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}",,5.8
3,4,data_driven,xgboost,1.0,1.0,"{'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__n_estimators': 100}",,2.8
3,4,pathway,elastic_net,1.0,1.0,"{'clf__C': 1.0, 'clf__l1_ratio': 0.2}",,8.0
3,4,pathway,random_forest,1.0,0.9999999999999999,"{'clf__max_depth': 3, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}",,11.3
3,4,pathway,xgboost,1.0,1.0,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 300}",,6.4
4,0,de_informed,elastic_net,1.0,1.0,"{'clf__C': 0.01, 'clf__l1_ratio': 0.2}",,18.2
4,0,de_informed,random_forest,1.0,1.0,"{'clf__max_depth': 3, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}",,16.3
4,0,de_informed,xgboost,0.9375,0.9897959183673469,"{'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__n_estimators': 300}",,9.1
4,0,data_driven,elastic_net,0.9987113402061856,0.9998948032821375,"{'clf__C': 0.01, 'clf__l1_ratio': 0.2}",,3.7
4,0,data_driven,random_forest,1.0,1.0,"{'clf__max_depth': 3, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}",,4.7
4,0,data_driven,xgboost,1.0,1.0,"{'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__n_estimators': 100}",,2.0
4,0,pathway,elastic_net,1.0,1.0,"{'clf__C': 1.0, 'clf__l1_ratio': 0.8}",,5.3
4,0,pathway,random_forest,1.0,1.0,"{'clf__max_depth': 5, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 500}",,9.8
4,0,pathway,xgboost,1.0,1.0,"{'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__n_estimators': 300}",,5.1
4,1,de_informed,elastic_net,1.0,1.0,"{'clf__C': 0.01, 'clf__l1_ratio': 0.2}",,14.7
4,1,de_informed,random_forest,1.0,1.0,"{'clf__max_depth': 3, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}",,16.9
4,1,de_informed,xgboost,1.0,1.0,"{'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__n_estimators': 300}",,11.6
4,1,data_driven,elastic_net,1.0,1.0,"{'clf__C': 0.01, 'clf__l1_ratio': 0.2}",,3.6
4,1,data_driven,random_forest,1.0,0.9999999999999999,"{'clf__max_depth': 3, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}",,5.7
