pathway,k_overlap,K_pathway_size_in_background,n_gene_set_size,N_background_size,overlap_genes,p_value,padj,collection
WP_CANCER_PATHWAYS,3,507,149,57622,ENSG00000134201;ENSG00000143171;ENSG00000165197,0.14451193066212376,0.17087903808825175,C2_CanonicalPathways
REACTOME_MAPK1_MAPK3_SIGNALING,2,271,149,57622,ENSG00000138669;ENSG00000168546,0.15568424181206222,0.17984115902794354,C2_CanonicalPathways
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION,2,272,149,57622,ENSG00000065325;ENSG00000185149,0.15658583673984738,0.17984115902794354,C2_CanonicalPathways
REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES,3,532,149,57622,ENSG00000092009;ENSG00000101255;ENSG00000165197,0.15975733815218413,0.18168481593777802,C2_CanonicalPathways
KEGG_PATHWAYS_IN_CANCER,2,325,149,57622,ENSG00000143171;ENSG00000165197,0.20555123072095402,0.2314945899381618,C2_CanonicalPathways
REACTOME_CELLULAR_RESPONSES_TO_STIMULI,4,911,149,57622,ENSG00000101255;ENSG00000103375;ENSG00000118777;ENSG00000129474,0.2108185846699863,0.23514380597806164,C2_CanonicalPathways
WP_MIRTARGETED_GENES_IN_MUSCLE_CELL,2,371,149,57622,ENSG00000118777;ENSG00000163347,0.24921438558369063,0.27532255931150584,C2_CanonicalPathways
WP_FATTY_ACID_AND_LIPOPROTEIN_TRANSPORT_IN_HEPATOCYTES,2,380,149,57622,ENSG00000157193;ENSG00000168079,0.25781008347331436,0.28213178946136286,C2_CanonicalPathways
REACTOME_DENGUE_VIRUS_INFECTION,2,398,149,57622,ENSG00000138669;ENSG00000163347,0.27501156711700603,0.29814338117357664,C2_CanonicalPathways
REACTOME_NEUTROPHIL_DEGRANULATION,2,475,149,57622,ENSG00000197561;ENSG00000204936,0.3480046876960684,0.373782812710592,C2_CanonicalPathways
REACTOME_NERVOUS_SYSTEM_DEVELOPMENT,2,562,149,57622,ENSG00000136546;ENSG00000168546,0.42735112181975526,0.4547956892760698,C2_CanonicalPathways
REACTOME_SENSORY_PERCEPTION,2,625,149,57622,ENSG00000157193;ENSG00000179520,0.48159755463613,0.5078665121617371,C2_CanonicalPathways
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,2,785,149,57622,ENSG00000133742;ENSG00000240505,0.604254293797307,0.6314729556800686,C2_CanonicalPathways
REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION,3,1361,149,57622,ENSG00000036672;ENSG00000143171;ENSG00000157005,0.6863955395173376,0.710909665928671,C2_CanonicalPathways
REACTOME_VIRAL_INFECTION_PATHWAYS,2,1103,149,57622,ENSG00000138669;ENSG00000163347,0.7809857242799657,0.7964209164721099,C2_CanonicalPathways
REACTOME_INNATE_IMMUNE_SYSTEM,2,1107,149,57622,ENSG00000197561;ENSG00000204936,0.7826895213605217,0.7964209164721099,C2_CanonicalPathways
REACTOME_INFECTIOUS_DISEASE,2,1326,149,57622,ENSG00000138669;ENSG00000163347,0.8598621987354933,0.8673392613331932,C2_CanonicalPathways
REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION,2,1476,149,57622,ENSG00000036672;ENSG00000163295,0.8973712962868109,0.8973712962868109,C2_CanonicalPathways
