pathway,k_overlap,K_pathway_size_in_background,n_gene_set_size,N_background_size,overlap_genes,p_value,padj,collection
REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES,4,61,182,57622,ENSG00000060718;ENSG00000123500;ENSG00000137673;ENSG00000149968,4.365316522501998e-05,0.00016626720284235554,C2_CanonicalPathways
WP_LUNG_FIBROSIS,4,63,182,57622,ENSG00000101144;ENSG00000117983;ENSG00000118785;ENSG00000169429,4.958266268079254e-05,0.00017835985603229537,C2_CanonicalPathways
WP_ENDOCHONDRAL_OSSIFICATION,4,63,182,57622,ENSG00000101144;ENSG00000118785;ENSG00000123500;ENSG00000167244,4.958266268079254e-05,0.00017835985603229537,C2_CanonicalPathways
WP_ENDOCHONDRAL_OSSIFICATION_WITH_SKELETAL_DYSPLASIAS,4,63,182,57622,ENSG00000101144;ENSG00000118785;ENSG00000123500;ENSG00000167244,4.958266268079254e-05,0.00017835985603229537,C2_CanonicalPathways
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS,5,124,182,57622,ENSG00000102854;ENSG00000118785;ENSG00000167244;ENSG00000185269;ENSG00000196611,4.9419516550842304e-05,0.00017835985603229537,C2_CanonicalPathways
PID_IL4_2PATHWAY,4,64,182,57622,ENSG00000162896;ENSG00000163515;ENSG00000211896;ENSG00000211897,5.2758161679189275e-05,0.00018465356587716247,C2_CanonicalPathways
REACTOME_DIGESTION,3,23,182,57622,ENSG00000090402;ENSG00000170835;ENSG00000197273,5.239196619065696e-05,0.00018465356587716247,C2_CanonicalPathways
REACTOME_BIOLOGICAL_OXIDATIONS,6,211,182,57622,ENSG00000015413;ENSG00000073067;ENSG00000135220;ENSG00000196616;ENSG00000197888;ENSG00000248144,6.104430306005837e-05,0.00021080632656740158,C2_CanonicalPathways
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450,4,67,182,57622,ENSG00000135220;ENSG00000196616;ENSG00000197888;ENSG00000248144,6.317620421108243e-05,0.00021529785382460985,C2_CanonicalPathways
KEGG_DRUG_METABOLISM_CYTOCHROME_P450,4,69,182,57622,ENSG00000135220;ENSG00000196616;ENSG00000197888;ENSG00000248144,7.09057196239898e-05,0.00023544335105914562,C2_CanonicalPathways
KEGG_PPAR_SIGNALING_PATHWAY,4,69,182,57622,ENSG00000134240;ENSG00000163586;ENSG00000164398;ENSG00000196611,7.09057196239898e-05,0.00023544335105914562,C2_CanonicalPathways
WP_PLEURAL_MESOTHELIOMA,8,436,182,57622,ENSG00000106483;ENSG00000134762;ENSG00000145423;ENSG00000149968;ENSG00000163017;ENSG00000163735;ENSG00000167244;ENSG00000185269,8.187913431822524e-05,0.0002684391871951941,C2_CanonicalPathways
REACTOME_DIGESTION_AND_ABSORPTION,3,27,182,57622,ENSG00000090402;ENSG00000170835;ENSG00000197273,8.57298728586029e-05,0.0002775504633797269,C2_CanonicalPathways
