pathway,k_overlap,K_pathway_size_in_background,n_gene_set_size,N_background_size,overlap_genes,p_value,padj,collection
GOBP_REGULATION_OF_DEVELOPMENTAL_GROWTH,2,320,149,57622,ENSG00000030304;ENSG00000164530,0.20085235778616542,0.22581377797346344,GO_BP
GOBP_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS,2,320,149,57622,ENSG00000136546;ENSG00000182271,0.20085235778616542,0.22581377797346344,GO_BP
GOBP_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS,2,320,149,57622,ENSG00000111846;ENSG00000186198,0.20085235778616542,0.22581377797346344,GO_BP
GOBP_MEIOTIC_CELL_CYCLE,2,320,149,57622,ENSG00000071539;ENSG00000120498,0.20085235778616542,0.22581377797346344,GO_BP
GOBP_CELL_CHEMOTAXIS,2,325,149,57622,ENSG00000165197;ENSG00000274736,0.20555123072095402,0.23043063040475825,GO_BP
GOBP_NEGATIVE_REGULATION_OF_CELL_CYCLE_PROCESS,2,325,149,57622,ENSG00000071539;ENSG00000168309,0.20555123072095402,0.23043063040475825,GO_BP
GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS,7,1863,149,57622,ENSG00000034971;ENSG00000062038;ENSG00000101255;ENSG00000104332;ENSG00000129474;ENSG00000185149;ENSG00000197561,0.20864546947724133,0.23356284209107014,GO_BP
GOBP_RESPONSE_TO_LIGHT_STIMULUS,2,330,149,57622,ENSG00000036672;ENSG00000197561,0.21026216932653083,0.23498247644756642,GO_BP
GOBP_REGULATION_OF_PROGRAMMED_CELL_DEATH,6,1542,149,57622,ENSG00000104332;ENSG00000115263;ENSG00000120498;ENSG00000157193;ENSG00000172005;ENSG00000182271,0.21051771990225424,0.23498247644756642,GO_BP
GOBP_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT,2,333,149,57622,ENSG00000103888;ENSG00000184544,0.2130940742531258,0.23717766776671223,GO_BP
GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION,2,333,149,57622,ENSG00000111846;ENSG00000197561,0.2130940742531258,0.23717766776671223,GO_BP
GOBP_CARBOHYDRATE_DERIVATIVE_BIOSYNTHETIC_PROCESS,3,619,149,57622,ENSG00000111846;ENSG00000116748;ENSG00000186198,0.21610203122495655,0.240181971847166,GO_BP
GOBP_EMBRYONIC_MORPHOGENESIS,3,628,149,57622,ENSG00000104332;ENSG00000120254;ENSG00000147655,0.22216305090122976,0.24656612496598682,GO_BP
GOBP_NUCLEAR_CHROMOSOME_SEGREGATION,2,345,149,57622,ENSG00000071539;ENSG00000120498,0.22445671969918674,0.24875687738741778,GO_BP
GOBP_POSITIVE_REGULATION_OF_CELL_CYCLE,2,346,149,57622,ENSG00000036672;ENSG00000109132,0.22540585263950585,0.24945341871057689,GO_BP
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_METABOLIC_PROCESS,3,634,149,57622,ENSG00000104332;ENSG00000129474;ENSG00000171617,0.22622286617978243,0.25000197427254367,GO_BP
GOBP_CELLULAR_RESPONSE_TO_ABIOTIC_STIMULUS,2,348,149,57622,ENSG00000104332;ENSG00000136546,0.22730503488565823,0.25084158459722283,GO_BP
GOBP_NEGATIVE_REGULATION_OF_PROGRAMMED_CELL_DEATH,4,942,149,57622,ENSG00000104332;ENSG00000115263;ENSG00000120498;ENSG00000182271,0.2276516227795885,0.2508682188704247,GO_BP
GOBP_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION,2,349,149,57622,ENSG00000186462;ENSG00000240498,0.22825506847759044,0.25117743037562285,GO_BP
GOBP_DNA_RECOMBINATION,2,353,149,57622,ENSG00000071539;ENSG00000120498,0.23205797108069695,0.25464189210265475,GO_BP
GOBP_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN,2,353,149,57622,ENSG00000163347;ENSG00000197561,0.23205797108069695,0.25464189210265475,GO_BP
GOBP_REGULATION_OF_VASCULATURE_DEVELOPMENT,2,354,149,57622,ENSG00000092009;ENSG00000104332,0.23300935026238326,0.2553257387382171,GO_BP
GOBP_ESTABLISHMENT_OF_LOCALIZATION_IN_CELL,7,1931,149,57622,ENSG00000104888;ENSG00000115263;ENSG00000170091;ENSG00000179520;ENSG00000179915;ENSG00000186198;ENSG00000204936,0.23408509900324695,0.25614375108934756,GO_BP
GOBP_DEFENSE_RESPONSE_TO_BACTERIUM,2,356,149,57622,ENSG00000110887;ENSG00000197561,0.23491283944778923,0.2566884678235674,GO_BP
